,Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio, ,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio, .1,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio, .2,Combined water area (ha),Energy stoage MWh per ha, .3
0,s22_e148_RES9338 & s22_e148_RES11495,B,701,3.45,20,1.5,2,6,14.9, ,s22_e148_RES9338,862,-21.1106,148.5092,52,2.3,3.1,237,0.02,145.4, ,s22_e148_RES11495,161,-21.1422,148.5431,32,1.5,6.7,411,0.09,16.6, ,84,23, 
1,s22_e148_RES5478 & s22_e148_RES10309,B,769,4.79,16,1.3,2,6,8, ,s22_e148_RES5478,910,-21.0697,148.5506,22,1.3,4.4,91,0.01,93.2, ,s22_e148_RES10309,141,-21.1222,148.5758,27,1.3,9.3,660,0.15,8.8, ,49,40, 
2,s22_e148_RES4087 & s22_e148_RES9313,B,780,4.65,17,1.2,2,6,5.4, ,s22_e148_RES4087,940,-21.0558,148.5653,17,1.2,5.6,179,0.02,52.7, ,s22_e148_RES9313,160,-21.1103,148.5747,13,1.2,21.7,183,0.2,6, ,30,66, 
3,s22_e148_RES7495 & s22_e148_RES11412,B,730,5.12,14,1.3,2,6,9.9, ,s22_e148_RES7495,870,-21.0892,148.5253,46,2,5.2,148,0.02,96.4, ,s22_e148_RES11412,140,-21.1403,148.5572,33,1.3,8.9,718,0.11,11, ,79,25, 
4,s38_e147_RES38899 & s38_e147_RES48755,B,749,4.44,17,1.3,2,6,6.6, ,s38_e147_RES38899,1171,-37.2339,147.2244,12,1.3,20.3,135,0.15,9.1, ,s38_e147_RES48755,422,-37.2708,147.2683,14,1.3,10.8,135,0.05,24.7, ,26,76, 
5,s33_e150_RES42139 & s33_e150_RES42573,B,752,4.74,16,1.2,2,6,7.9, ,s33_e150_RES42139,1052,-32.7042,150.2547,21,1.2,8.1,232,0.06,21.6, ,s33_e150_RES42573,300,-32.7153,150.3128,29,1.3,10.7,377,0.1,12.5, ,50,40, 
6,s31_e152_RES39826 & s31_e152_RES42312,B,580,2.38,24,1.6,2,6,25.5, ,s31_e152_RES39826,970,-30.5739,152.0058,31,1.6,8.7,111,0.03,47.9, ,s31_e152_RES42312,390,-30.6019,152.0092,23,1.7,9,119,0.03,54.4, ,54,37, 
7,s31_e152_RES30174 & s31_e152_RES31901,B,684,3.98,17,1.5,2,6,21.4, ,s31_e152_RES30174,734,-30.3964,152.7175,24,1.5,4.6,115,0.02,92.7, ,s31_e152_RES31901,50,-30.4294,152.7408,36,1.5,7,376,0.05,27.8, ,60,33, 
8,s31_e152_RES29699 & s31_e152_RES32093,B,699,3.66,19,1.5,2,6,11.8, ,s31_e152_RES29699,770,-30.3906,152.6864,38,1.5,7.5,513,0.12,12.3, ,s31_e152_RES32093,71,-30.4331,152.6928,78,3.6,3.3,199,0.01,289.5, ,116,17, 
9,s31_e152_RES30034 & s31_e152_RES32094,B,689,3.94,17,1.4,2,6,7.4, ,s31_e152_RES30034,750,-30.3944,152.7139,18,1.4,13.9,602,0.15,9.3, ,s31_e152_RES32094,61,-30.4331,152.7094,41,1.6,6.3,402,0.04,36.2, ,59,33, 
10,s31_e151_RES76997 & s31_e151_RES76079,B,660,1.65,40,1.5,2,6,3.9, ,s31_e151_RES76997,1080,-30.9531,151.8978,29,1.5,8.3,551,0.19,8, ,s31_e151_RES76079,420,-30.9439,151.9203,9,1.5,22.6,203,0.2,7.5, ,38,52, 
11,s31_e151_RES55113 & s31_e151_RES53396,B,759,4.68,16,1.3,2,6,8.4, ,s31_e151_RES55113,1070,-30.7167,151.8528,30,1.3,7.6,636,0.1,12.8, ,s31_e151_RES53396,311,-30.6953,151.9047,21,1.3,11,141,0.05,24.7, ,51,39, 
12,s31_e151_RES44857 & s31_e151_RES47316,B,580,2.38,24,1.6,2,6,7.1, ,s31_e151_RES44857,961,-30.5872,151.9861,23,1.6,17.9,318,0.18,8.7, ,s31_e151_RES47316,381,-30.6128,151.9978,22,1.6,9.1,84,0.04,36.7, ,45,44, 
13,s31_e151_RES59053 & s31_e151_RES59778,B,579,1.45,40,1.7,2,6,4.6, ,s31_e151_RES59053,910,-30.7608,151.8694,25,1.7,13.7,844,0.25,6.5, ,s31_e151_RES59778,331,-30.7681,151.8897,19,1.7,14.8,194,0.11,15.8, ,44,45, 
14,s37_e147_RES75661 & s37_e147_RES71553,B,642,4.25,15,1.5,2,6,11, ,s37_e147_RES75661,1183,-36.4922,147.8811,19,1.5,7,81,0.02,68.8, ,s37_e147_RES71553,541,-36.4756,147.8328,15,1.5,13.9,242,0.12,13.2, ,34,58, 
15,s38_e148_RES28929 & s38_e148_RES32516,B,750,3.97,19,1.2,2,6,6.4, ,s38_e148_RES28929,1030,-37.3369,148.8556,18,1.2,8.6,393,0.07,17.7, ,s38_e148_RES32516,280,-37.3664,148.8956,15,1.3,9.7,264,0.13,10, ,33,60, 
16,s38_e148_RES11184 & s38_e148_RES14662,B,610,3.08,20,1.6,2,6,23.2, ,s38_e148_RES11184,1061,-37.1419,148.0917,23,1.6,2.4,357,0.02,97.9, ,s38_e148_RES14662,451,-37.1831,148.1111,22,1.6,12.5,105,0.05,30.4, ,45,44, 
17,s38_e148_RES13578 & s38_e148_RES16818,B,678,4.49,15,1.4,2,6,11.6, ,s38_e148_RES13578,1110,-37.1722,148.0489,25,1.4,7.3,579,0.08,19.1, ,s38_e148_RES16818,432,-37.2033,148.1056,21,1.4,11.9,105,0.05,29.8, ,46,43, 
18,s32_e151_RES81668 & s32_e151_RES83758,B,550,1.94,28,1.8,2,6,6.8, ,s32_e151_RES81668,801,-31.6172,151.76,22,1.8,20.2,219,0.23,7.7, ,s32_e151_RES83758,251,-31.6294,151.7406,19,1.8,7.8,114,0.03,60.1, ,41,48, 
19,s32_e151_RES64592 & s32_e151_RES72752,B,730,5.12,14,1.3,2,6,10, ,s32_e151_RES64592,1210,-31.5183,151.4331,24,1.3,13.3,369,0.1,12.6, ,s32_e151_RES72752,480,-31.5675,151.42,17,1.3,8.6,110,0.03,48.5, ,41,48, 
